path,relative_path,label,class_name,language,tts_generator,source_file
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/de/Die_Kanzlerin_direkt_16_07_f000007.wav,en/de/Die_Kanzlerin_direkt_16_07_f000007.wav,0,bona_fide,en,bona_fide,Die_Kanzlerin_direkt_16_07_f000007
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/de/Die_Kanzlerin_direkt_20_08_f000014.wav,en/de/Die_Kanzlerin_direkt_20_08_f000014.wav,0,bona_fide,en,bona_fide,Die_Kanzlerin_direkt_20_08_f000014
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/de/Die_Kanzlerin_direkt_21_08_f000012.wav,en/de/Die_Kanzlerin_direkt_21_08_f000012.wav,0,bona_fide,en,bona_fide,Die_Kanzlerin_direkt_21_08_f000012
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/de/Die_Kanzlerin_direkt_25_07_f000012.wav,en/de/Die_Kanzlerin_direkt_25_07_f000012.wav,0,bona_fide,en,bona_fide,Die_Kanzlerin_direkt_25_07_f000012
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/de/Die_Kanzlerin_direkt_44_12_f000033.wav,en/de/Die_Kanzlerin_direkt_44_12_f000033.wav,0,bona_fide,en,bona_fide,Die_Kanzlerin_direkt_44_12_f000033
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/de/Kanzlerin_01_15_f000053.wav,en/de/Kanzlerin_01_15_f000053.wav,0,bona_fide,en,bona_fide,Kanzlerin_01_15_f000053
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/de/Kanzlerin_02_14_f000040.wav,en/de/Kanzlerin_02_14_f000040.wav,0,bona_fide,en,bona_fide,Kanzlerin_02_14_f000040
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/de/Kanzlerin_03_17_f000019.wav,en/de/Kanzlerin_03_17_f000019.wav,0,bona_fide,en,bona_fide,Kanzlerin_03_17_f000019
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/de/Kanzlerin_06_14_f000038.wav,en/de/Kanzlerin_06_14_f000038.wav,0,bona_fide,en,bona_fide,Kanzlerin_06_14_f000038
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/de/Kanzlerin_07_17_f000011.wav,en/de/Kanzlerin_07_17_f000011.wav,0,bona_fide,en,bona_fide,Kanzlerin_07_17_f000011
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/de/Kanzlerin_08_13_f000031.wav,en/de/Kanzlerin_08_13_f000031.wav,0,bona_fide,en,bona_fide,Kanzlerin_08_13_f000031
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/de/Kanzlerin_08_14_f000053.wav,en/de/Kanzlerin_08_14_f000053.wav,0,bona_fide,en,bona_fide,Kanzlerin_08_14_f000053
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/de/Kanzlerin_08_15_f000037.wav,en/de/Kanzlerin_08_15_f000037.wav,0,bona_fide,en,bona_fide,Kanzlerin_08_15_f000037
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/de/Kanzlerin_09_17_f000027.wav,en/de/Kanzlerin_09_17_f000027.wav,0,bona_fide,en,bona_fide,Kanzlerin_09_17_f000027
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/de/Kanzlerin_09_17_f000056.wav,en/de/Kanzlerin_09_17_f000056.wav,0,bona_fide,en,bona_fide,Kanzlerin_09_17_f000056
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/de/Kanzlerin_10_14_f000060.wav,en/de/Kanzlerin_10_14_f000060.wav,0,bona_fide,en,bona_fide,Kanzlerin_10_14_f000060
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/de/Kanzlerin_10_15_f000033.wav,en/de/Kanzlerin_10_15_f000033.wav,0,bona_fide,en,bona_fide,Kanzlerin_10_15_f000033
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/de/Kanzlerin_10_17_f000012.wav,en/de/Kanzlerin_10_17_f000012.wav,0,bona_fide,en,bona_fide,Kanzlerin_10_17_f000012
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/de/Kanzlerin_11_13_f000032.wav,en/de/Kanzlerin_11_13_f000032.wav,0,bona_fide,en,bona_fide,Kanzlerin_11_13_f000032
